2024-05-02 13:26:21.8283 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-02 13:26:21.8283 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-02 13:26:21.8422 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-02 13:26:21.8422 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-02 13:26:21.8656 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-02 13:26:21.8731 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-02 13:26:21.9235 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-02 13:26:21.9663 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-02 13:26:22.4926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-02 13:26:22.6862 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-02 13:26:22.6862 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-02 13:26:22.6862 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-02 13:26:22.7004 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-02 13:26:22.7195 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-05-02 13:26:22.7195 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3AFLDK3UQI" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
