2024-06-05 16:41:26.7300 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-05 16:41:26.7483 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-05 16:41:26.7483 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-05 16:41:26.7483 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-05 16:41:26.7483 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-05 16:41:26.7483 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-05 16:41:26.7824 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-05 16:41:26.8083 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-05 16:41:27.2395 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-06-05 16:41:27.4228 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-06-05 16:41:27.4337 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-05 16:41:27.4337 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-05 16:41:27.4337 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" received HEADERS frame for stream ID 5 with length 58 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-05 16:41:27.4521 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-05 16:41:27.4521 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS. 
2024-06-05 16:41:27.4521 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-06-05 16:41:27.4521 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-06-05 16:41:27.4521 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5327 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5467 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5467 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-05 16:41:27.5467 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN45A0V0D4PD" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
