2024-05-08 11:27:18.3280 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-08 11:27:18.3280 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-08 11:27:18.3280 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-08 11:27:18.3280 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-08 11:27:18.3330 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-08 11:27:18.3330 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-08 11:27:18.3576 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-08 11:27:18.3776 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-08 11:27:18.6097 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-08 11:27:18.6169 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending DATA frame for stream ID 1 with length 4096 and flags NONE. 
2024-05-08 11:27:18.6169 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending DATA frame for stream ID 1 with length 633 and flags NONE. 
2024-05-08 11:27:18.6169 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-05-08 11:27:18.6169 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-05-08 11:27:18.6169 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-08 11:27:18.6343 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3F4ERVO1K9" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-08 11:27:18.6343 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
