2024-05-10 10:36:18.6137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-10 10:36:18.6137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-10 10:36:18.6137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-10 10:36:18.6137 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-10 10:36:18.6557 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-10 10:36:18.6557 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 10:36:18.8163 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-10 10:36:18.9563 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 10:36:19.4741 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-05-10 10:36:19.9036 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-05-10 10:36:19.9135 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-05-10 10:36:20.0152 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.1575 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-10 10:36:20.4615 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3GLRMDPN91" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
