2024-05-11 12:14:39.6917 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-11 12:14:39.6917 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-11 12:14:39.6917 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-11 12:14:39.6917 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-11 12:14:39.6917 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-11 12:14:39.6917 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-11 12:14:39.7521 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-11 12:14:39.7896 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-11 12:14:40.4294 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-11 12:14:40.9659 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-11 12:14:40.9659 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-11 12:14:40.9659 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3HGNA9O412" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
