2024-06-17 12:00:13.8031 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-17 12:00:13.8454 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 12:00:13.8454 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-17 12:00:13.8471 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-17 12:00:13.8471 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 12:00:13.8471 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received HEADERS frame for stream ID 1 with length 468 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 12:00:13.8794 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-17 12:00:13.8970 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 12:00:14.1989 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-06-17 12:00:14.4801 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-06-17 12:00:14.4880 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-06-17 12:00:14.4880 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 12:00:14.4880 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 12:00:14.4880 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS. 
2024-06-17 12:00:14.4880 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-06-17 12:00:14.4880 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-06-17 12:00:14.5021 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATE" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 12:00:14.5021 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
