2024-06-18 16:54:34.1944 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-18 16:54:34.2016 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-18 16:54:34.2016 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-18 16:54:34.2016 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-18 16:54:34.2016 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-18 16:54:34.2016 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received HEADERS frame for stream ID 1 with length 468 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-18 16:54:34.2288 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-18 16:54:34.2463 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-18 16:54:34.4729 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-18 16:54:34.5926 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2024-06-18 16:54:34.6088 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-06-18 16:54:34.6088 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-06-18 16:54:34.6088 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-18 16:54:34.6088 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-18 16:54:34.8105 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-06-18 16:54:34.8105 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-18 16:54:34.8110 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4FH4TD5S4D" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
