2024-06-19 11:30:57.3967 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-19 11:30:57.4008 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-19 11:30:57.4008 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-19 11:30:57.4008 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-19 11:30:57.4008 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-19 11:30:57.4008 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received HEADERS frame for stream ID 1 with length 468 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-19 11:30:57.4318 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-19 11:30:57.4481 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-19 11:30:57.7150 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-06-19 11:30:57.8503 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-06-19 11:30:57.8586 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4G4KNTTSHS" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
