2024-05-24 10:14:21.1709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-24 10:14:21.1709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-24 10:14:21.1709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-24 10:14:21.1709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-24 10:14:21.1709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-24 10:14:21.1709 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-24 10:14:21.1997 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-24 10:14:21.2151 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-24 10:14:21.4205 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-05-24 10:14:21.5486 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-05-24 10:14:21.5553 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-24 10:14:21.5879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-24 10:14:21.5879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-24 10:14:21.5879 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-24 10:14:21.5879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS. 
2024-05-24 10:14:21.5879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-05-24 10:14:21.5879 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-05-24 10:14:21.5994 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-24 10:14:21.6595 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS. 
2024-05-24 10:14:21.6595 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-05-24 10:14:21.6595 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-24 10:14:21.6595 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN3RLGMPPC0E" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
