2024-05-30 11:08:49.7473 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-05-30 11:08:49.7834 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-30 11:08:49.7834 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-05-30 11:08:49.7834 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-30 11:08:49.7868 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-05-30 11:08:49.7868 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-30 11:08:49.9600 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-05-30 11:08:50.0086 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-30 11:08:50.9740 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 992 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-05-30 11:08:51.5366 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-05-30 11:08:51.6606 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-30 11:08:51.6670 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-05-30 11:08:51.6670 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-30 11:08:51.6670 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2024-05-30 11:08:51.6670 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 3 with length 11990 and flags NONE. 
2024-05-30 11:08:51.6670 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-05-30 11:08:51.6987 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-05-30 11:08:52.3245 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN40DB3UODPG" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
