2024-04-02 16:39:21.5489 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-04-02 16:39:21.5563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-02 16:39:21.5563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-04-02 16:39:21.5563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-02 16:39:21.5563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-02 16:39:21.5563 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-02 16:39:21.5938 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-02 16:39:21.6091 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-02 16:39:22.2004 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 995 and flags NONE. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-04-02 16:39:22.7799 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-04-02 16:39:22.8022 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-04-02 16:39:23.0778 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-02 16:39:23.0778 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-02 16:39:23.0901 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-02 16:39:23.0901 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-02 16:39:23.0901 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2024-04-02 16:39:23.0901 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 3 with length 11996 and flags NONE. 
2024-04-02 16:39:23.0901 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-02 16:39:23.1149 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2J0LCESA5R" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
