2024-04-03 10:38:39.9577 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-04-03 10:38:40.0313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-03 10:38:40.0313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-04-03 10:38:40.0313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-03 10:38:40.0313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-03 10:38:40.0313 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-03 10:38:40.1410 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-03 10:38:40.7638 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-03 10:38:42.2783 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 995 and flags NONE. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-04-03 10:38:43.0676 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-04-03 10:38:43.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-04-03 10:38:43.0903 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-03 10:38:43.0903 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-03 10:38:43.1103 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2024-04-03 10:38:43.2862 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-03 10:38:43.2862 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2JJGFJOSTG" sending DATA frame for stream ID 3 with length 11996 and flags NONE. 
2024-04-03 10:38:43.2971 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
