2024-04-08 09:40:49.0010 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-04-08 09:40:49.0205 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-08 09:40:49.0205 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-04-08 09:40:49.0205 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-08 09:40:49.0205 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-04-08 09:40:49.0205 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" received HEADERS frame for stream ID 1 with length 454 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-08 09:40:49.0688 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-04-08 09:40:49.1110 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-08 09:40:49.6977 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 995 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" received HEADERS frame for stream ID 3 with length 109 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-08 09:40:50.1086 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-04-08 09:40:50.1279 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-08 09:40:50.1279 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-04-08 09:40:50.1474 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
2024-04-08 09:40:50.1474 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 3 with length 11996 and flags NONE. 
2024-04-08 09:40:50.1557 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-04-08 09:40:50.1557 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending HEADERS frame for stream ID 5 with length 119 and flags END_HEADERS. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2460 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-04-08 09:40:50.2497 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN2NG7FHIQLI" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
