2024-06-10 11:18:42.2871 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-10 11:18:42.3044 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-10 11:18:42.3044 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-10 11:18:42.3044 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-10 11:18:42.3044 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-10 11:18:42.3044 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" received HEADERS frame for stream ID 1 with length 461 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-10 11:18:42.3434 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-10 11:18:42.3665 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-10 11:18:42.4562 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending HEADERS frame for stream ID 1 with length 69 and flags END_STREAM, END_HEADERS. 
2024-06-10 11:18:42.4815 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" received HEADERS frame for stream ID 3 with length 37 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-10 11:18:42.4815 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-10 11:18:42.8997 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4923TVV7RO" sending HEADERS frame for stream ID 3 with length 58 and flags END_HEADERS. 
