2024-06-13 10:07:40.5845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-13 10:07:40.5845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-13 10:07:40.5845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-13 10:07:40.5845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-13 10:07:40.5845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-13 10:07:40.5845 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" received HEADERS frame for stream ID 1 with length 469 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-13 10:07:40.6340 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-13 10:07:40.6615 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-13 10:07:41.1370 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 995 and flags NONE. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-06-13 10:07:41.3928 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-06-13 10:07:41.4083 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-13 10:07:41.4100 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" received HEADERS frame for stream ID 5 with length 57 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-13 10:07:41.4100 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-13 10:07:41.4100 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-13 10:07:41.4100 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending HEADERS frame for stream ID 3 with length 60 and flags END_HEADERS. 
2024-06-13 10:07:41.4319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 3 with length 11996 and flags NONE. 
2024-06-13 10:07:41.4319 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 3 with length 0 and flags END_STREAM. 
2024-06-13 10:07:41.4785 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending HEADERS frame for stream ID 5 with length 149 and flags END_HEADERS. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 9986 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5400 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
2024-06-13 10:07:41.5636 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4BCA7DJ5BC" sending DATA frame for stream ID 5 with length 10240 and flags NONE. 
