2024-06-17 14:49:53.1199 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-17 14:49:53.1275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 14:49:53.1275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-17 14:49:53.1275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-17 14:49:53.1275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 14:49:53.1275 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 1 with length 468 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:49:53.1607 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-17 14:49:53.1877 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:49:53.7106 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 1024 and flags NONE. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 995 and flags NONE. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 65 and flags NONE. 
2024-06-17 14:49:53.9913 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 16 and flags NONE. 
2024-06-17 14:49:54.0075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 3 with length 115 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:49:54.0075 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" received HEADERS frame for stream ID 5 with length 58 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 14:49:54.0165 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:49:54.0485 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 14:49:54.0485 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. 
2024-06-17 14:49:54.0779 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4ELQIGOGHR" sending HEADERS frame for stream ID 3 with length 90 and flags END_HEADERS. 
